Protein	Indistinguishable.Proteins	Description
1561	935_SemiBin_236_contig_538415_2		rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)
1562	935_SemiBin_236_contig_538415_4		rank: C;2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] (db=kegg)
1563	935_SemiBin_236_contig_538415_70	945_SemiBin_50_contig_502524_4, 954_SemiBin_221_contig_1002629_9, 966_SemiBin_91_contig_5159189_8, MEGAHIT-MetaBAT2-S947.6_contig_2426401_5, MEGAHIT-MetaBAT2-S964.110_contig_1503754_1, MEGAHIT-MetaBAT2-S985.24_contig_3740438_4, group7_bins.365_contig_3581901_1, group9_bins.202_contig_6964708_5	rank: C;pyrroline-5-carboxylate reductase [EC:1.5.1.2] (db=kegg)
1564	935_SemiBin_236_contig_538415_79		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)
1565	935_SemiBin_236_contig_538415_83		rank: C;recombination protein RecA (db=kegg)
1566	935_SemiBin_236_contig_538416_44		rank: E
1567	935_SemiBin_236_contig_538416_46		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
1568	935_SemiBin_236_contig_538416_47		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)
1569	935_SemiBin_236_contig_538416_48		rank: D;Bacterial Ig-like domain (group 2) [PF02368.23];Bacterial Ig-like domain [PF22359.1] (db=pfam)
1570	935_SemiBin_236_contig_538416_49		rank: C;immune inhibitor A [EC:3.4.24.-] (db=kegg)
1571	935_SemiBin_236_contig_538416_63		rank: C;elongation factor Tu (db=kegg)
1572	935_SemiBin_236_contig_538416_66		rank: C;large subunit ribosomal protein L11 (db=kegg)
1573	935_SemiBin_236_contig_538416_67		rank: C;large subunit ribosomal protein L1 (db=kegg)
1574	935_SemiBin_236_contig_538416_71		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)
1575	935_SemiBin_236_contig_538417_33		rank: E
1576	935_SemiBin_236_contig_538417_4		rank: E
1577	935_SemiBin_236_contig_538417_42		rank: C;SecD/SecF fusion protein (db=kegg)
1578	935_SemiBin_236_contig_538418_16		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
1579	935_SemiBin_236_contig_538418_17		rank: D;Starch-binding associating with outer membrane [PF12771.12];Susd and RagB outer membrane lipoprotein [PF12741.12] (db=pfam)
1580	935_SemiBin_236_contig_538418_18		rank: E
1581	935_SemiBin_236_contig_538418_21		rank: D;Domain of unknown function (DUF6383) [PF19910.4] (db=pfam)
1582	935_SemiBin_236_contig_538418_26		rank: D;Polysaccharide biosynthesis protein [PF02719.20] (db=pfam)
1583	935_SemiBin_236_contig_538420_22		rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24] (db=pfam)
1584	935_SemiBin_236_contig_538420_25		rank: E
1585	935_SemiBin_236_contig_538420_41		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)
1586	935_SemiBin_236_contig_538421_37		rank: C;mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] (db=kegg)
1587	935_SemiBin_236_contig_538421_39	983_SemiBin_133_contig_1182667_19, 991_SemiBin_113_contig_800964_32, group4_bins.47_contig_5578331_8	rank: C;UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-] (db=kegg)
1588	935_SemiBin_236_contig_538421_5		rank: D;DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.22];Orn/Lys/Arg decarboxylase, major domain [PF01276.25] (db=pfam)
1589	935_SemiBin_236_contig_538421_60		rank: C;protease IV [EC:3.4.21.-] (db=kegg)
1590	935_SemiBin_236_contig_538421_78		rank: C;DNA gyrase subunit B [EC:5.6.2.2] (db=kegg)
1591	935_SemiBin_236_contig_538422_24		rank: D;Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.11];Fn3 associated [PF13287.11];Domain of unknown function (DUF6383) [PF19910.4] (db=pfam)
1592	935_SemiBin_236_contig_538423_29		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
1593	935_SemiBin_236_contig_538424_23		rank: C;peptidyl-dipeptidase Dcp [EC:3.4.15.5] (db=kegg)
1594	935_SemiBin_236_contig_538426_13		rank: E
1595	935_SemiBin_236_contig_538427_16		rank: E
1596	935_SemiBin_236_contig_538427_2		rank: E
1597	935_SemiBin_236_contig_538428_14		rank: C;peptidylprolyl isomerase [EC:5.2.1.8] (db=kegg)
1598	935_SemiBin_236_contig_538428_25		rank: C;tyrosine-protein kinase Etk/Wzc [EC:2.7.10.3] (db=kegg)
1599	935_SemiBin_236_contig_538428_28		rank: C;ribosome-binding ATPase (db=kegg)
1600	935_SemiBin_236_contig_538428_40		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)
1601	935_SemiBin_236_contig_538429_1		rank: E
1602	935_SemiBin_236_contig_538429_5		rank: D;Flotillin-like protein FloA [PF12127.13] (db=pfam)
1603	935_SemiBin_236_contig_538430_15		rank: E
1604	935_SemiBin_236_contig_538430_17		rank: E
1605	935_SemiBin_236_contig_538430_18		rank: E
1606	935_SemiBin_236_contig_538430_19		rank: D;Fibronectin type III domain [PF00041.26] (db=pfam)
1607	935_SemiBin_236_contig_538430_22		rank: C;acetate kinase [EC:2.7.2.1] (db=kegg)
1608	935_SemiBin_236_contig_538430_4		rank: D;BspA type Leucine rich repeat region (6 copies) [PF13306.11] (db=pfam)
1609	935_SemiBin_236_contig_538431_42		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
1610	935_SemiBin_236_contig_538433_2		rank: C;tryptophanase [EC:4.1.99.1] (db=kegg)
1611	935_SemiBin_236_contig_538433_4		rank: C;V/A-type H+/Na+-transporting ATPase subunit I (db=kegg)
1612	935_SemiBin_236_contig_538433_6		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30] (db=pfam)
1613	935_SemiBin_236_contig_538436_11		rank: D;Family of unknown function (DUF6567) [PF20205.3] (db=pfam)
1614	935_SemiBin_236_contig_538436_25		rank: C;molecular chaperone HtpG (db=kegg)
1615	935_SemiBin_236_contig_538439_10		rank: E
1616	935_SemiBin_236_contig_538439_16		rank: C;rubrerythrin (db=kegg)
1617	935_SemiBin_236_contig_538439_8		rank: E
1618	935_SemiBin_236_contig_538439_9		rank: E
1619	935_SemiBin_236_contig_538440_1		rank: E
1620	935_SemiBin_236_contig_538443_15		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1] (db=kegg)
1621	935_SemiBin_236_contig_538445_4		rank: D;BspA type Leucine rich repeat region (6 copies) [PF13306.11] (db=pfam)
1622	935_SemiBin_236_contig_538446_38		rank: C;signal recognition particle subunit SRP54 [EC:3.6.5.4] (db=kegg)
1623	935_SemiBin_236_contig_538446_40		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
1624	935_SemiBin_236_contig_538448_12		rank: C;small conductance mechanosensitive channel (db=kegg)
1625	935_SemiBin_236_contig_538449_5		rank: E
1626	935_SemiBin_236_contig_538451_29		rank: E
1627	935_SemiBin_236_contig_538451_6		rank: E
1628	935_SemiBin_236_contig_538453_1		rank: E
1629	935_SemiBin_236_contig_538454_23		rank: C;long-chain fatty acid transport protein (db=kegg)
1630	935_SemiBin_236_contig_538454_28		rank: C;dipeptidyl-peptidase III [EC:3.4.14.4] (db=kegg)
1631	935_SemiBin_236_contig_538454_35		rank: C;preprotein translocase subunit YajC (db=kegg)
1632	935_SemiBin_236_contig_538454_69		rank: D;Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.10];HlyD family secretion protein [PF13437.11] (db=pfam)
1633	935_SemiBin_236_contig_538454_73		rank: E
1634	935_SemiBin_236_contig_538456_101		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
1635	935_SemiBin_236_contig_538456_12		rank: C;biopolymer transport protein ExbB (db=kegg)
1636	935_SemiBin_236_contig_538456_14		rank: C;biopolymer transport protein ExbD (db=kegg)
1637	935_SemiBin_236_contig_538456_31		rank: D;Type IX secretion system protein PorV [PF19572.4] (db=pfam)
1638	935_SemiBin_236_contig_538456_40		rank: E
1639	935_SemiBin_236_contig_538456_48		rank: C;fumarate hydratase, class I [EC:4.2.1.2] (db=kegg)
1640	935_SemiBin_236_contig_538456_53		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)
1641	935_SemiBin_236_contig_538456_54		rank: C;succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1] (db=kegg)
1642	935_SemiBin_236_contig_538457_8		rank: C;methylmalonyl-CoA mutase [EC:5.4.99.2] (db=kegg)
1643	935_SemiBin_236_contig_538457_9		rank: D;Methylmalonyl-CoA mutase [PF01642.27] (db=pfam)
1644	935_SemiBin_236_contig_538459_12	group7_bins.282_contig_1678188_78	rank: C;electron transfer flavoprotein beta subunit (db=kegg)
1645	935_SemiBin_236_contig_538459_18		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)
1646	935_SemiBin_236_contig_538459_19		rank: C;putative endopeptidase [EC:3.4.24.-] (db=kegg)
1647	935_SemiBin_236_contig_538459_7		rank: C;methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3] (db=kegg)
1648	935_SemiBin_236_contig_538460_18		rank: C;heat shock protein HslJ (db=kegg)
1649	935_SemiBin_236_contig_538462_3		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
1650	935_SemiBin_236_contig_538462_32		rank: C;elongation factor G (db=kegg)
1651	935_SemiBin_236_contig_538462_48		rank: D;Outer membrane protein Omp28 [PF11551.13] (db=pfam)
1652	935_SemiBin_236_contig_538464_38		rank: C;LemA protein (db=kegg)
1653	935_SemiBin_236_contig_538464_45		rank: D;Concanavalin A-like lectin/glucanases superfamily [PF13385.12];Pentaxin family [PF00354.23];Secretion system C-terminal sorting domain [PF18962.5] (db=pfam)
1654	935_SemiBin_236_contig_538464_46		rank: E
1655	935_SemiBin_236_contig_538464_47		rank: D;OmpA family [PF00691.25] (db=pfam)
1656	935_SemiBin_236_contig_538465_35		rank: D;Domain of unknown function (DUF6359) [PF19886.4];Domain of unknown function (DUF5017) [PF16409.10] (db=pfam)
1657	935_SemiBin_236_contig_538465_41		rank: D;Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)
1658	935_SemiBin_236_contig_538465_42		rank: D;GldL N-terminal domain [PF22827.1] (db=pfam)
1659	935_SemiBin_236_contig_538465_43		rank: D;GldM N-terminal domain [PF12081.13];GldM third domain [PF21602.2];GldM second domain [PF21601.2];GldM C-terminal domain [PF12080.13] (db=pfam)
1660	935_SemiBin_236_contig_538465_44		rank: D;Gliding motility associated protein GldN [PF19841.4] (db=pfam)
1661	935_SemiBin_236_contig_538465_51		rank: E
1662	935_SemiBin_236_contig_538465_53		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)
1663	935_SemiBin_236_contig_538467_8	966_SemiBin_95_contig_3845499_1, MEGAHIT-MetaBAT2-S941.34_contig_3688454_4, MEGAHIT-MetaBAT2-S942.110_contig_6618990_21, MEGAHIT-MetaBAT2-S947.28_contig_2112925_3	rank: C;diphosphate-dependent phosphofructokinase [EC:2.7.1.90] (db=kegg)
1664	935_SemiBin_68_contig_5672568_3		rank: D;Aldose 1-epimerase [PF01263.25] (db=pfam)
1665	935_SemiBin_68_contig_5672568_5	MEGAHIT-MetaBAT2-S932.132_contig_1418973_18, MEGAHIT-MetaBAT2-S962.24_contig_2292127_2, MEGAHIT-MetaBAT2-S983.160_contig_1010830_34, group7_bins.83_contig_3134532_26	rank: C;polar amino acid transport system permease protein (db=kegg)
1666	935_SemiBin_68_contig_5672569_7		rank: C;multiple sugar transport system substrate-binding protein (db=kegg)
1667	935_SemiBin_68_contig_5672569_8		rank: C;multiple sugar transport system permease protein (db=kegg)
1668	935_SemiBin_68_contig_5672570_5	935_SemiBin_68_contig_5672730_2	rank: D;MFS/sugar transport protein [PF13347.11] (db=pfam)
1669	935_SemiBin_68_contig_5672572_10		rank: C;aldose 1-epimerase [EC:5.1.3.3] (db=kegg)
1670	935_SemiBin_68_contig_5672576_11		rank: C;formate--tetrahydrofolate ligase [EC:6.3.4.3] (db=kegg)
1671	935_SemiBin_68_contig_5672576_7		rank: C;phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (db=kegg)
1672	935_SemiBin_68_contig_5672576_9		rank: C;5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (db=kegg)
1673	935_SemiBin_68_contig_5672577_2		rank: C;4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17] (db=kegg)
1674	935_SemiBin_68_contig_5672577_3		rank: C;gluconate 5-dehydrogenase [EC:1.1.1.69] (db=kegg)
1675	935_SemiBin_68_contig_5672577_5		rank: C;altronate hydrolase [EC:4.2.1.7] (db=kegg)
1676	935_SemiBin_68_contig_5672577_6		rank: C;tagaturonate reductase [EC:1.1.1.58] (db=kegg)
1677	935_SemiBin_68_contig_5672579_5		rank: C;starch synthase [EC:2.4.1.21] (db=kegg)
1678	935_SemiBin_68_contig_5672579_6		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)
1679	935_SemiBin_68_contig_5672579_7		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)
1680	935_SemiBin_68_contig_5672580_11		rank: C;uracil phosphoribosyltransferase [EC:2.4.2.9] (db=kegg)
1681	935_SemiBin_68_contig_5672580_12		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24] (db=pfam)
1682	935_SemiBin_68_contig_5672582_10	967_SemiBin_89_contig_4060624_22	rank: C;rhamnulose-1-phosphate aldolase [EC:4.1.2.19] (db=kegg)
1683	935_SemiBin_68_contig_5672582_11	967_SemiBin_89_contig_4060624_21	rank: C;L-arabinose isomerase [EC:5.3.1.4] (db=kegg)
1684	935_SemiBin_68_contig_5672585_18		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)
1685	935_SemiBin_68_contig_5672586_1		rank: C;elongation factor Ts (db=kegg)
1686	935_SemiBin_68_contig_5672586_2		rank: C;small subunit ribosomal protein S2 (db=kegg)
1687	935_SemiBin_68_contig_5672587_3		rank: C;2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] (db=kegg)
1688	935_SemiBin_68_contig_5672587_4		rank: C;2-dehydro-3-deoxygluconokinase [EC:2.7.1.45] (db=kegg)
1689	935_SemiBin_68_contig_5672589_20		rank: C;beta-galactosidase [EC:3.2.1.23] (db=kegg)
1690	935_SemiBin_68_contig_5672591_5		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)
1691	935_SemiBin_68_contig_5672592_1		rank: D;PEP-utilising enzyme, PEP-binding domain [PF02896.23] (db=pfam)
1692	935_SemiBin_68_contig_5672594_7		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
1693	935_SemiBin_68_contig_5672595_10		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)
1694	935_SemiBin_68_contig_5672595_9		rank: E
1695	935_SemiBin_68_contig_5672596_1		rank: D;Phosphate acetyl/butaryl transferase [PF01515.24] (db=pfam)
1696	935_SemiBin_68_contig_5672597_1	967_SemiBin_89_contig_4060503_11, MEGAHIT-MetaBAT2-S983.173_contig_59771_5	rank: C;4-alpha-glucanotransferase [EC:2.4.1.25] (db=kegg)
1697	935_SemiBin_68_contig_5672598_1		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
1698	935_SemiBin_68_contig_5672598_2		rank: C;multiple sugar transport system permease protein (db=kegg)
1699	935_SemiBin_68_contig_5672598_3		rank: C;multiple sugar transport system permease protein (db=kegg)
1700	935_SemiBin_68_contig_5672598_4		rank: C;N-acetylneuraminate lyase [EC:4.1.3.3] (db=kegg)
1701	935_SemiBin_68_contig_5672598_5		rank: C;N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9] (db=kegg)
1702	935_SemiBin_68_contig_5672601_16		rank: E
1703	935_SemiBin_68_contig_5672601_17		rank: C;elongation factor Ts (db=kegg)
1704	935_SemiBin_68_contig_5672602_11		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
1705	935_SemiBin_68_contig_5672603_10	967_SemiBin_89_contig_4060527_1, group9_bins.348_contig_6928410_12	rank: C;small subunit ribosomal protein S18 (db=kegg)
1706	935_SemiBin_68_contig_5672603_6		rank: D;Nucleotidyl transferase [PF00483.28] (db=pfam)
1707	935_SemiBin_68_contig_5672603_7	951_SemiBin_94_contig_3789201_13, 967_SemiBin_89_contig_4060527_4, MEGAHIT-MetaBAT2-S932.132_contig_1418870_19, MEGAHIT-MetaBAT2-S935.70_contig_6982007_7, MEGAHIT-MetaBAT2-S979.62_contig_5177361_3, MEGAHIT-MetaBAT2-S983.173_contig_59847_5, group6_bins.56_contig_4161450_15	rank: D;Galactose-1-phosphate uridyl transferase, N-terminal domain [PF01087.27];Galactose-1-phosphate uridyl transferase, C-terminal domain [PF02744.22];Domain of unknown function (DUF4922) [PF16269.10] (db=pfam)
1708	935_SemiBin_68_contig_5672603_8		rank: C;small subunit ribosomal protein S6 (db=kegg)
1709	935_SemiBin_68_contig_5672606_2		rank: D;ABC transporter [PF00005.32] (db=pfam)
1710	935_SemiBin_68_contig_5672607_1		rank: D;DegT/DnrJ/EryC1/StrS aminotransferase family [PF01041.22];Aminotransferase class-V [PF00266.24];Orn/Lys/Arg decarboxylase, major domain [PF01276.25] (db=pfam)
1711	935_SemiBin_68_contig_5672607_12		rank: C;basic membrane protein A and related proteins (db=kegg)
1712	935_SemiBin_68_contig_5672607_24		rank: C;molecular chaperone HtpG (db=kegg)
1713	935_SemiBin_68_contig_5672612_1	MEGAHIT-MetaBAT2-S945.168_contig_3689832_19, MEGAHIT-MetaBAT2-S966.102_contig_6246680_2, MEGAHIT-MetaBAT2-S980.41_contig_2118385_4, MEGAHIT-MetaBAT2-S980.86_contig_3881953_3	rank: C;phosphocarrier protein HPr (db=kegg)
1714	935_SemiBin_68_contig_5672612_2		rank: C;phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9] (db=kegg)
1715	935_SemiBin_68_contig_5672612_4	935_SemiBin_68_contig_5672738_17	rank: E
1716	935_SemiBin_68_contig_5672615_3		rank: D;Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B [PF10418.14] (db=pfam)
1717	935_SemiBin_68_contig_5672618_1	967_SemiBin_89_contig_4060572_1, MEGAHIT-MetaBAT2-S932.132_contig_1418965_3, MEGAHIT-MetaBAT2-S983.173_contig_59731_1	rank: C;tryptophanyl-tRNA synthetase [EC:6.1.1.2] (db=kegg)
1718	935_SemiBin_68_contig_5672618_8		rank: C;superoxide reductase [EC:1.15.1.2] (db=kegg)
1719	935_SemiBin_68_contig_5672623_1		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)
1720	935_SemiBin_68_contig_5672625_8		rank: C;alanine racemase [EC:5.1.1.1] (db=kegg)
1721	935_SemiBin_68_contig_5672626_3	967_SemiBin_89_contig_4060578_7, MEGAHIT-MetaBAT2-S932.132_contig_1418928_6	rank: C;peptide chain release factor 3 (db=kegg)
1722	935_SemiBin_68_contig_5672628_2		rank: C;1,4-alpha-glucan branching enzyme [EC:2.4.1.18] (db=kegg)
1723	935_SemiBin_68_contig_5672632_1		rank: C;basic membrane protein A and related proteins (db=kegg)
1724	935_SemiBin_68_contig_5672634_11		rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25];Transketolase-like TK C-terminal domain [PF22613.1] (db=pfam)
1725	935_SemiBin_68_contig_5672636_4		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
1726	935_SemiBin_68_contig_5672636_5		rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)
1727	935_SemiBin_68_contig_5672638_11		rank: C;dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] (db=kegg)
1728	935_SemiBin_68_contig_5672639_2		rank: C;glucuronate isomerase [EC:5.3.1.12] (db=kegg)
1729	935_SemiBin_68_contig_5672640_2		rank: D;Bacterial DNA-binding protein [PF00216.26] (db=pfam)
1730	935_SemiBin_68_contig_5672645_3	MEGAHIT-MetaBAT2-S962.24_contig_2292132_6	rank: C;uncharacterized protein (db=kegg)
1731	935_SemiBin_68_contig_5672648_5		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)
1732	935_SemiBin_68_contig_5672650_4		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
1733	935_SemiBin_68_contig_5672651_9		rank: D;Protein of unknown function (DUF1015) [PF06245.16] (db=pfam)
1734	935_SemiBin_68_contig_5672654_3		rank: D;MFS/sugar transport protein [PF13347.11] (db=pfam)
1735	935_SemiBin_68_contig_5672656_5		rank: C;cell division protein FtsZ (db=kegg)
1736	935_SemiBin_68_contig_5672659_7	MEGAHIT-MetaBAT2-S970.191_contig_2451135_7	rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25];Transketolase-like TK C-terminal domain [PF22613.1] (db=pfam)
1737	935_SemiBin_68_contig_5672660_3	MEGAHIT-MetaBAT2-S983.173_contig_59726_2	rank: C;phosphocarrier protein HPr (db=kegg)
1738	935_SemiBin_68_contig_5672661_10		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)
1739	935_SemiBin_68_contig_5672661_21		rank: D;Enoyl-(Acyl carrier protein) reductase [PF13561.11];short chain dehydrogenase [PF00106.30];KR domain [PF08659.15] (db=pfam)
1740	935_SemiBin_68_contig_5672661_4		rank: D;Ribose/Galactose Isomerase [PF02502.23];Ribose-5-phosphate isomerase [PF12408.13] (db=pfam)
1741	935_SemiBin_68_contig_5672663_2		rank: C;ABC-2 type transport system ATP-binding protein (db=kegg)
1742	935_SemiBin_68_contig_5672664_13		rank: D;Electron transfer flavoprotein FAD-binding domain [PF00766.24] (db=pfam)
1743	935_SemiBin_68_contig_5672666_5		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)
1744	935_SemiBin_68_contig_5672667_2		rank: E
1745	935_SemiBin_68_contig_5672667_4		rank: C;DNA-binding protein HU-beta (db=kegg)
